assembly	binner	bin	n_contigs	total_length	n50	gc_pct	completeness	contamination	quality	domain	phylum	class	order	family	genus	species	closest_ani
coassembly	concoct	coassembly.concoct.16	274	913034	5589	50.36	60.87	2.34	medium	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.8
coassembly	concoct	coassembly.concoct.5	63	901047	23119	43.50	60.07	1.47	medium	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.13
coassembly	concoct	coassembly.concoct.1	283	185564	640	40.13	12.37	0.64	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.1
coassembly	concoct	coassembly.concoct.11	3	2082	706	56.72	0.14	6.82	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.3
coassembly	concoct	coassembly.concoct.4	1	1673	1673	31.02	0.11	2.73	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.12
coassembly	concoct	coassembly.concoct.6	2	1320	663	51.82	0.09	6.2	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.14
coassembly	concoct	coassembly.concoct.13	2	1228	697	31.76	0.08	5.28	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.5
coassembly	concoct	coassembly.concoct.12	1	1019	1019	55.35	0.07	3.19	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.4
coassembly	concoct	coassembly.concoct.15	1	686	686	51.90	0.05	6.86	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.7
coassembly	concoct	coassembly.concoct.2	1	743	743	35.67	0.05	0.43	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.10
coassembly	concoct	coassembly.concoct.7	1	732	732	46.58	0.05	0.32	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.15
coassembly	concoct	coassembly.concoct.8	1	774	774	43.28	0.05	0.74	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.16
coassembly	concoct	coassembly.concoct.0	1	550	550	34.55	0.04	5.5	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.0
coassembly	concoct	coassembly.concoct.14	1	534	534	35.96	0.04	5.34	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.6
coassembly	concoct	coassembly.concoct.17	1	662	662	53.02	0.04	6.62	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.9
coassembly	concoct	coassembly.concoct.3	1	663	663	37.10	0.04	6.63	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.11
coassembly	concoct	coassembly.concoct.9	1	594	594	40.40	0.04	5.94	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.17
coassembly	concoct	coassembly.concoct.10	1	519	519	53.76	0.03	5.19	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.2
coassembly	metabat2	coassembly.metabat2.2	46	812511	23272	42.93	54.17	5.11	medium	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.1
coassembly	metabat2	coassembly.metabat2.1	126	739095	7606	51.77	49.27	5.95	low	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	NA	95.0
